"","hotel_name","hotel_price","booking_avaliation","hotel_adress","hotel_link"
"1","ibis Juiz de Fora","R$ 166","7.9","Av. Deusdedith Salgado, 2200, Juiz de Fora, CEP 36033-000, Brasil","https://www.booking.com/hotel/br/ibis-juiz-de-fora.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"2","Nobile Express Juiz de Fora","R$ 191,10","8.6","AV. PRESIDENTE ITAMAR FRANCO No570, Juiz de Fora, CEP 36010-020, Brasil","https://www.booking.com/hotel/br/nobile-express-juiz-de-fora.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"3","Trade Hotel","R$ 256,45","8.6","Avenida Presidente Itamar Franco, 3800, Juiz de Fora, CEP 36025-290, Brasil","https://www.booking.com/hotel/br/independencia-trade.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"4","Constantino Hotel e Eventos","R$ 270","8.2","Rua Santo Antonio, 765, Juiz de Fora, CEP 36015-001, Brasil","https://www.booking.com/hotel/br/constantino-e-eventos.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"5","Serrano Residencial Hotel","R$ 209","9","Rua Santa Rita, 399, Juiz de Fora, CEP 36010-071, Brasil","https://www.booking.com/hotel/br/serrano-residencial.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"6","Premier Parc Hotel","R$ 195,03","8.6","Avenida Deusdedith Salgado, 1.805 - Teixeiras, Juiz de Fora, CEP 36033-000, Brasil","https://www.booking.com/hotel/br/premier-parc.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"7","César Inn Juiz de Fora Hotel","R$ 125","8","Av. Getulio Vargas, 335, Juiz de Fora, CEP 36010-110, Brasil","https://www.booking.com/hotel/br/cesar-palace.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"8","Imperial Hotel","R$ 148,50","8.1","605 Rua Batista de Oliveira, Juiz de Fora, CEP 36010-121, Brasil","https://www.booking.com/hotel/br/imperial-nova-california.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"9","César Park Hotel","R$ 171,50","8.3","Av. Getulio Vargas,181, Juiz de Fora, CEP 36010-110, Brasil","https://www.booking.com/hotel/br/cesar-park.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
"10","Victory Suites","R$ 199,75","7.8","Rua Chanceler Oswaldo Aranha, 28, Juiz de Fora, CEP 36025-007, Brasil","https://www.booking.com/hotel/br/victory-suites.pt-br.html?aid=1702940&label=juiz-de-fora-BPEcpQwm0f2TISeNCRUMywS383513189256%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-415409152295%3Alp9101186%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcpDr58xwogAwmVmCRFhsnQ&sid=85e3345ea5fb7105b8405915e845b508"
